User:;Maciej
IndexName:;TimeSeriesOur
StartDate:;2015-01-14 00:26:21
CalculationTime:;02:07:40
TestCasesNumber:;100
ProportionalDivisionTrainingTestData:;0,7
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError
Jordan;1;0,4;500;2~1;no PCA;Day;Day;Day;0,0150028488528001
Elman;1;0,4;500;2~1;no PCA;Day;Day;Day;0,0214607731280537
MLP;0;0,6;500;2~1;no PCA;Day;Day;Day;0,143846500633179
Jordan;0;0,6;500;2~1;no PCA;Day;Day;Day;0,145459061971658
Elman;0;0,6;500;2~1;no PCA;Day;Day;Day;0,145676348819878
MLP;0,2;0,6;500;2~1;no PCA;Day;Day;Day;0,0949386164104396
Jordan;0,2;0,6;500;2~1;no PCA;Day;Day;Day;0,0975362068839588
Elman;0,2;0,6;500;2~1;no PCA;Day;Day;Day;0,0976277579782134
MLP;0,4;0,6;500;2~1;no PCA;Day;Day;Day;0,0616686823072301
Jordan;0,4;0,6;500;2~1;no PCA;Day;Day;Day;0,0978477546895283
Elman;0,4;0,6;500;2~1;no PCA;Day;Day;Day;0,0984233939145452
MLP;0,6;0,6;500;2~1;no PCA;Day;Day;Day;0,0343989681962798
Jordan;0,6;0,6;500;2~1;no PCA;Day;Day;Day;0,095904693926851
Elman;0,6;0,6;500;2~1;no PCA;Day;Day;Day;0,099657484177504
MLP;0,8;0,6;500;2~1;no PCA;Day;Day;Day;0,0215012277196483
Jordan;0,8;0,6;500;2~1;no PCA;Day;Day;Day;0,089571332006713
Elman;0,8;0,6;500;2~1;no PCA;Day;Day;Day;0,100909853022954
MLP;1;0,6;500;2~1;no PCA;Day;Day;Day;0,0111352471562259
Jordan;1;0,6;500;2~1;no PCA;Day;Day;Day;0,0877080141018239
Elman;1;0,6;500;2~1;no PCA;Day;Day;Day;0,0986177015134715
MLP;0;0,8;500;2~1;no PCA;Day;Day;Day;0,183717231713608
Jordan;0;0,8;500;2~1;no PCA;Day;Day;Day;0,18146403147457
Elman;0;0,8;500;2~1;no PCA;Day;Day;Day;0,179724258789899
MLP;0,2;0,8;500;2~1;no PCA;Day;Day;Day;0,109693948458739
Jordan;0,2;0,8;500;2~1;no PCA;Day;Day;Day;0,109853129651868
Elman;0,2;0,8;500;2~1;no PCA;Day;Day;Day;0,10981574238832
MLP;0,4;0,8;500;2~1;no PCA;Day;Day;Day;0,110169183738433
Jordan;0,4;0,8;500;2~1;no PCA;Day;Day;Day;0,110820812485438
Elman;0,4;0,8;500;2~1;no PCA;Day;Day;Day;0,110809041760539
MLP;0,6;0,8;500;2~1;no PCA;Day;Day;Day;0,108830665767296
Jordan;0,6;0,8;500;2~1;no PCA;Day;Day;Day;0,112263672029909
Elman;0,6;0,8;500;2~1;no PCA;Day;Day;Day;0,112264776876895
MLP;0,8;0,8;500;2~1;no PCA;Day;Day;Day;0,0964661214656351
Jordan;0,8;0,8;500;2~1;no PCA;Day;Day;Day;0,113853312198995
Elman;0,8;0,8;500;2~1;no PCA;Day;Day;Day;0,113854924175349
MLP;1;0,8;500;2~1;no PCA;Day;Day;Day;0,0884978170360743
Jordan;1;0,8;500;2~1;no PCA;Day;Day;Day;0,115515263472558
Elman;1;0,8;500;2~1;no PCA;Day;Day;Day;0,115519733909837
MLP;0;1;500;2~1;no PCA;Day;Day;Day;0,226738701879295
Jordan;0;1;500;2~1;no PCA;Day;Day;Day;0,223220887144391
Elman;0;1;500;2~1;no PCA;Day;Day;Day;0,22324389595612
MLP;0,2;1;500;2~1;no PCA;Day;Day;Day;0,124463435643561
Jordan;0,2;1;500;2~1;no PCA;Day;Day;Day;0,124198803093239
Elman;0,2;1;500;2~1;no PCA;Day;Day;Day;0,124112213078411
MLP;0,4;1;500;2~1;no PCA;Day;Day;Day;0,125401250570275
Jordan;0,4;1;500;2~1;no PCA;Day;Day;Day;0,125385093001007
Elman;0,4;1;500;2~1;no PCA;Day;Day;Day;0,125351220727387
MLP;0,6;1;500;2~1;no PCA;Day;Day;Day;0,127038850287229
Jordan;0,6;1;500;2~1;no PCA;Day;Day;Day;0,127091493253779
Elman;0,6;1;500;2~1;no PCA;Day;Day;Day;0,127065842514242
MLP;0,8;1;500;2~1;no PCA;Day;Day;Day;0,12886647784112
Jordan;0,8;1;500;2~1;no PCA;Day;Day;Day;0,12894128771956
Elman;0,8;1;500;2~1;no PCA;Day;Day;Day;0,12892466277697
MLP;1;1;500;2~1;no PCA;Day;Day;Day;0,130785715584125
Jordan;1;1;500;2~1;no PCA;Day;Day;Day;0,13086457128199
Elman;1;1;500;2~1;no PCA;Day;Day;Day;0,130850799623211
MLP;0;0;100;3~1;no PCA;Day;Day;Day;0,0802560788050082
Jordan;0;0;100;3~1;no PCA;Day;Day;Day;0,0792756395871776
Elman;0;0;100;3~1;no PCA;Day;Day;Day;0,0808650469444606
MLP;0,2;0;100;3~1;no PCA;Day;Day;Day;0,0672402220198483
Jordan;0,2;0;100;3~1;no PCA;Day;Day;Day;0,0675178146433134
Elman;0,2;0;100;3~1;no PCA;Day;Day;Day;0,0673243017346778
MLP;0,4;0;100;3~1;no PCA;Day;Day;Day;0,0614707111615697
Jordan;0,4;0;100;3~1;no PCA;Day;Day;Day;0,0609607883305883
Elman;0,4;0;100;3~1;no PCA;Day;Day;Day;0,0606382714303248
MLP;0,6;0;100;3~1;no PCA;Day;Day;Day;0,0451922022309561
Jordan;0,6;0;100;3~1;no PCA;Day;Day;Day;0,045890156140973
Elman;0,6;0;100;3~1;no PCA;Day;Day;Day;0,0451788267786254
MLP;0,8;0;100;3~1;no PCA;Day;Day;Day;0,0278113220651847
Jordan;0,8;0;100;3~1;no PCA;Day;Day;Day;0,0263752497726547
Elman;0,8;0;100;3~1;no PCA;Day;Day;Day;0,0254693947786667
MLP;1;0;100;3~1;no PCA;Day;Day;Day;0,0108377807337336
Jordan;1;0;100;3~1;no PCA;Day;Day;Day;0,01057847216372
Elman;1;0;100;3~1;no PCA;Day;Day;Day;0,0138620866061133
MLP;0;0,2;100;3~1;no PCA;Day;Day;Day;0,101160386859347
Jordan;0;0,2;100;3~1;no PCA;Day;Day;Day;0,101155426655797
Elman;0;0,2;100;3~1;no PCA;Day;Day;Day;0,101158528341993
MLP;0,2;0,2;100;3~1;no PCA;Day;Day;Day;0,0840746006903905
Jordan;0,2;0,2;100;3~1;no PCA;Day;Day;Day;0,0836996785887417
Elman;0,2;0,2;100;3~1;no PCA;Day;Day;Day;0,0837096962918764
MLP;0,4;0,2;100;3~1;no PCA;Day;Day;Day;0,0751148479508893
Jordan;0,4;0,2;100;3~1;no PCA;Day;Day;Day;0,0785025163706187
Elman;0,4;0,2;100;3~1;no PCA;Day;Day;Day;0,0795891901797236
MLP;0,6;0,2;100;3~1;no PCA;Day;Day;Day;0,0628966634221826
Jordan;0,6;0,2;100;3~1;no PCA;Day;Day;Day;0,0675121433581398
Elman;0,6;0,2;100;3~1;no PCA;Day;Day;Day;0,0771448107786069
MLP;0,8;0,2;100;3~1;no PCA;Day;Day;Day;0,0415121806013386
Jordan;0,8;0,2;100;3~1;no PCA;Day;Day;Day;0,0536202472698016
Elman;0,8;0,2;100;3~1;no PCA;Day;Day;Day;0,0695882366790409
MLP;1;0,2;100;3~1;no PCA;Day;Day;Day;0,0262257656056483
Jordan;1;0,2;100;3~1;no PCA;Day;Day;Day;0,0409834187408175
Elman;1;0,2;100;3~1;no PCA;Day;Day;Day;0,0608862785685102
MLP;0;0,4;100;3~1;no PCA;Day;Day;Day;0,128595877440672
Jordan;0;0,4;100;3~1;no PCA;Day;Day;Day;0,13101702683338
Elman;0;0,4;100;3~1;no PCA;Day;Day;Day;0,131471126724221
MLP;0,2;0,4;100;3~1;no PCA;Day;Day;Day;0,0982792089095916
Jordan;0,2;0,4;100;3~1;no PCA;Day;Day;Day;0,0961820336622342
Elman;0,2;0,4;100;3~1;no PCA;Day;Day;Day;0,0943657982634239
MLP;0,4;0,4;100;3~1;no PCA;Day;Day;Day;0,0909673614257037
Jordan;0,4;0,4;100;3~1;no PCA;Day;Day;Day;0,0915890064339403
Elman;0,4;0,4;100;3~1;no PCA;Day;Day;Day;0,0911975151885008
MLP;0,6;0,4;100;3~1;no PCA;Day;Day;Day;0,0873526063229873
Jordan;0,6;0,4;100;3~1;no PCA;Day;Day;Day;0,0900959076333449
Elman;0,6;0,4;100;3~1;no PCA;Day;Day;Day;0,0909230987790473
MLP;0,8;0,4;100;3~1;no PCA;Day;Day;Day;0,0785506309762931
Jordan;0,8;0,4;100;3~1;no PCA;Day;Day;Day;0,0903093542521947
Elman;0,8;0,4;100;3~1;no PCA;Day;Day;Day;0,0914950640184477
MLP;1;0,4;100;3~1;no PCA;Day;Day;Day;0,0668231492076853
Jordan;1;0,4;100;3~1;no PCA;Day;Day;Day;0,0881121328083227
Elman;1;0,4;100;3~1;no PCA;Day;Day;Day;0,0922176315927656
MLP;0;0,6;100;3~1;no PCA;Day;Day;Day;0,173519371699236
