User:;komputer
IndexName:;WIG20withMacro
StartDate:;2015-01-14 21:11:32
CalculationTime:;00:03:21
TestCasesNumber:;1
ProportionalDivisionTrainingTestData:;0,7
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError;TestCorrectDirectionPredictionsRate;Trend;LastTrainingCorrectDirectionPredictionsRate
Elman;0,2;0,8;100;2~1;no PCA;Week;Day;Day;10659,0993918356;0,494141012909633;0,502681231380338;0,580645161290323
MLP;0,4;0,8;100;2~1;no PCA;Week;Day;Day;10247,3458386179;0,494736842105263;0,502681231380338;0,612903225806452
Jordan;0,4;0,8;100;2~1;no PCA;Week;Day;Day;13681,6592044976;0,494141012909633;0,502681231380338;0,580645161290323
Elman;0,4;0,8;100;2~1;no PCA;Week;Day;Day;9638,6113657367;0,494141012909633;0,502681231380338;0,612903225806452
MLP;0,6;0,8;100;2~1;no PCA;Week;Day;Day;13248,7748954883;0,494141012909633;0,502681231380338;0,548387096774194
Jordan;0,6;0,8;100;2~1;no PCA;Week;Day;Day;10262,7421058063;0,493942403177756;0,502681231380338;0,580645161290323
Elman;0,6;0,8;100;2~1;no PCA;Week;Day;Day;8166,36859166838;0,494339622641509;0,502681231380338;0,580645161290323
MLP;0,8;0,8;100;2~1;no PCA;Week;Day;Day;8281,9968062191;0,494339622641509;0,502681231380338;0,580645161290323
Jordan;0,8;0,8;100;2~1;no PCA;Week;Day;Day;7635,98916826824;0,494736842105263;0,502681231380338;0,612903225806452
Elman;0,8;0,8;100;2~1;no PCA;Week;Day;Day;8873,25258019425;0,494141012909633;0,502681231380338;0,483870967741936
MLP;1;0,8;100;2~1;no PCA;Week;Day;Day;8913,82530610326;0,493942403177756;0,502681231380338;0,548387096774194
Jordan;1;0,8;100;2~1;no PCA;Week;Day;Day;7534,42009797445;0,494538232373386;0,502681231380338;0,612903225806452
Elman;1;0,8;100;2~1;no PCA;Week;Day;Day;7428,24921480145;0,495531281032771;0,502681231380338;0,67741935483871
MLP;0;1;100;2~1;no PCA;Week;Day;Day;943423,610659297;0,497517378351539;0,502681231380338;0,451612903225806
Jordan;0;1;100;2~1;no PCA;Week;Day;Day;1004755,18821277;0,495531281032771;0,502681231380338;0,451612903225806
Elman;0;1;100;2~1;no PCA;Week;Day;Day;46044,3577564394;0,499503475670308;0,502681231380338;0,483870967741936
MLP;0,2;1;100;2~1;no PCA;Week;Day;Day;11550,1123866488;0,494538232373386;0,502681231380338;0,645161290322581
Jordan;0,2;1;100;2~1;no PCA;Week;Day;Day;10696,9987217081;0,494339622641509;0,502681231380338;0,645161290322581
Elman;0,2;1;100;2~1;no PCA;Week;Day;Day;10072,6689834477;0,494141012909633;0,502681231380338;0,580645161290323
MLP;0,4;1;100;2~1;no PCA;Week;Day;Day;9038,56168748479;0,494538232373386;0,502681231380338;0,645161290322581
Jordan;0,4;1;100;2~1;no PCA;Week;Day;Day;12645,8892446032;0,494141012909633;0,502681231380338;0,580645161290323
Elman;0,4;1;100;2~1;no PCA;Week;Day;Day;14878,5188474435;0,496921549155909;0,502681231380338;0,516129032258065
MLP;0,6;1;100;2~1;no PCA;Week;Day;Day;9313,65180748826;0,494538232373386;0,502681231380338;0,580645161290323
Jordan;0,6;1;100;2~1;no PCA;Week;Day;Day;16860,2375121698;0,493545183714002;0,502681231380338;0,516129032258065
Elman;0,6;1;100;2~1;no PCA;Week;Day;Day;8662,88685478803;0,494538232373386;0,502681231380338;0,612903225806452
MLP;0,8;1;100;2~1;no PCA;Week;Day;Day;14782,5329214067;0,49493545183714;0,502681231380338;0,548387096774194
Jordan;0,8;1;100;2~1;no PCA;Week;Day;Day;13331,0447041328;0,494538232373386;0,502681231380338;0,548387096774194
Elman;0,8;1;100;2~1;no PCA;Week;Day;Day;8115,25398215387;0,494339622641509;0,502681231380338;0,580645161290323
MLP;1;1;100;2~1;no PCA;Week;Day;Day;5959,90115429224;0,495332671300894;0,502681231380338;0,612903225806452
Jordan;1;1;100;2~1;no PCA;Week;Day;Day;6139,35737045261;0,493942403177756;0,502681231380338;0,645161290322581
Elman;1;1;100;2~1;no PCA;Week;Day;Day;6999,57754368571;0,494538232373386;0,502681231380338;0,580645161290323
