User:;Maciej
IndexName:;WIG20withMacro
StartDate:;2015-01-14 23:41:22
CalculationTime:;04:44:19
TestCasesNumber:;4
ProportionalDivisionTrainingTestData:;0,7
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError;TestCorrectDirectionPredictionsRate;Trend;LastTrainingCorrectDirectionPredictionsRate
MLP;0,25;0,25;40000;5~1;no PCA;Day;Day;Day;2194,26889269763;0,500099226036912;0,503076007144275;0,741935483870968
Jordan;0,25;0,25;40000;5~1;no PCA;Day;Day;Day;2176,08988991862;0,497916253224846;0,503076007144275;0,741935483870968
Elman;0,25;0,25;40000;5~1;no PCA;Day;Day;Day;1924,44084345183;0,49950386981544;0,503076007144275;0,774193548387097
MLP;0,5;0,25;40000;5~1;no PCA;Day;Day;Day;1951,11481329849;0,497916253224846;0,503076007144275;0,709677419354839
Jordan;0,5;0,25;40000;5~1;no PCA;Day;Day;Day;1890,30381724734;0,498908513593967;0,503076007144275;0,709677419354839
Elman;0,5;0,25;40000;5~1;no PCA;Day;Day;Day;1672,29705121214;0,497320897003374;0,503076007144275;0,709677419354839
MLP;0,75;0,25;40000;5~1;no PCA;Day;Day;Day;1588,11004257011;0,497519349077198;0,503076007144275;0,774193548387097
Jordan;0,75;0,25;40000;5~1;no PCA;Day;Day;Day;1466,85740972472;0,49811470529867;0,503076007144275;0,838709677419355
Elman;0,75;0,25;40000;5~1;no PCA;Day;Day;Day;1285,10443182343;0,500297678110736;0,503076007144275;0,741935483870968
MLP;1;0,25;40000;5~1;no PCA;Day;Day;Day;1788,46490197255;0,497519349077198;0,503076007144275;0,67741935483871
Jordan;1;0,25;40000;5~1;no PCA;Day;Day;Day;1222,98644738235;0,499106965667791;0,503076007144275;0,838709677419355
Elman;1;0,25;40000;5~1;no PCA;Day;Day;Day;1331,85043506324;0,499702321889264;0,503076007144275;0,67741935483871
MLP;0,25;0,5;40000;5~1;no PCA;Day;Day;Day;2241,97254646059;0,499702321889264;0,503076007144275;0,741935483870968
Jordan;0,25;0,5;40000;5~1;no PCA;Day;Day;Day;2229,96678291402;0,497916253224846;0,503076007144275;0,709677419354839
Elman;0,25;0,5;40000;5~1;no PCA;Day;Day;Day;2158,82912864175;0,498908513593967;0,503076007144275;0,741935483870968
MLP;0,5;0,5;40000;5~1;no PCA;Day;Day;Day;2051,52655315481;0,500099226036912;0,503076007144275;0,709677419354839
Jordan;0,5;0,5;40000;5~1;no PCA;Day;Day;Day;2003,96379959886;0,498710061520143;0,503076007144275;0,709677419354839
Elman;0,5;0,5;40000;5~1;no PCA;Day;Day;Day;1987,02090852572;0,498908513593967;0,503076007144275;0,741935483870968
MLP;0,75;0,5;40000;5~1;no PCA;Day;Day;Day;1926,31703326955;0,499305417741615;0,503076007144275;0,645161290322581
Jordan;0,75;0,5;40000;5~1;no PCA;Day;Day;Day;1710,3267988925;0,49950386981544;0,503076007144275;0,645161290322581
Elman;0,75;0,5;40000;5~1;no PCA;Day;Day;Day;1204,61257008764;0,500893034332209;0,503076007144275;0,741935483870968
MLP;1;0,5;40000;5~1;no PCA;Day;Day;Day;1698,6338236752;0,499702321889264;0,503076007144275;0,709677419354839
Jordan;1;0,5;40000;5~1;no PCA;Day;Day;Day;1994,50113945242;0,499702321889264;0,503076007144275;0,645161290322581
Elman;1;0,5;40000;5~1;no PCA;Day;Day;Day;1761,17597123096;0,498908513593967;0,503076007144275;0,67741935483871
MLP;0,25;0,75;40000;5~1;no PCA;Day;Day;Day;2409,80101502376;0,500297678110736;0,503076007144275;0,774193548387097
Jordan;0,25;0,75;40000;5~1;no PCA;Day;Day;Day;2484,06775671576;0,499305417741615;0,503076007144275;0,645161290322581
Elman;0,25;0,75;40000;5~1;no PCA;Day;Day;Day;2241,58318600644;0,500099226036912;0,503076007144275;0,67741935483871
MLP;0,5;0,75;40000;5~1;no PCA;Day;Day;Day;2043,32727281146;0,499900773963088;0,503076007144275;0,741935483870968
Jordan;0,5;0,75;40000;5~1;no PCA;Day;Day;Day;2334,47648276207;0,50049613018456;0,503076007144275;0,774193548387097
Elman;0,5;0,75;40000;5~1;no PCA;Day;Day;Day;1798,10558322176;0,499106965667791;0,503076007144275;0,709677419354839
MLP;0,75;0,75;40000;5~1;no PCA;Day;Day;Day;2143,30473102661;0,499900773963088;0,503076007144275;0,67741935483871
Jordan;0,75;0,75;40000;5~1;no PCA;Day;Day;Day;1957,79288497974;0,500099226036912;0,503076007144275;0,741935483870968
Elman;0,75;0,75;40000;5~1;no PCA;Day;Day;Day;1776,43832223119;0,500694582258385;0,503076007144275;0,67741935483871
MLP;1;0,75;40000;5~1;no PCA;Day;Day;Day;1698,24668871602;0,501091486406033;0,503076007144275;0,774193548387097
Jordan;1;0,75;40000;5~1;no PCA;Day;Day;Day;1988,93748771396;0,499305417741615;0,503076007144275;0,67741935483871
Elman;1;0,75;40000;5~1;no PCA;Day;Day;Day;1273,37992308246;0,49811470529867;0,503076007144275;0,806451612903226
