User:;Maciej
IndexName:;WIG20Closing
StartDate:;2015-01-15 12:44:55
CalculationTime:;02:46:41
TestCasesNumber:;4
ProportionalDivisionTrainingTestData:;0,7
networkType;learningCoefficient;inertiaCoefficient;iterationNumber;neuronStructure;maxInputColumns;windowLength;density;step;resultError;TestCorrectDirectionPredictionsRate;Trend;LastTrainingCorrectDirectionPredictionsRate
MLP;1,5;0;10000;2~2~1;no PCA;Day;Day;Day;4799,5104430566;0,495931732486604;0,503076007144275;0,516129032258065
Jordan;1,5;0;10000;2~2~1;no PCA;Day;Day;Day;4354,92052607141;0,496527088708077;0,503076007144275;0,451612903225806
Elman;1,5;0;10000;2~2~1;no PCA;Day;Day;Day;4322,06770025662;0,497519349077198;0,503076007144275;0,580645161290323
MLP;2;0;10000;2~2~1;no PCA;Day;Day;Day;4755,78840266299;0,495931732486604;0,503076007144275;0,548387096774194
Jordan;2;0;10000;2~2~1;no PCA;Day;Day;Day;4294,08634751938;0,496725540781901;0,503076007144275;0,483870967741936
Elman;2;0;10000;2~2~1;no PCA;Day;Day;Day;4235,22731751601;0,497122444929549;0,503076007144275;0,580645161290323
MLP;0;0;10000;5~5~1;no PCA;Day;Day;Day;1043265,85982036;0,497320897003374;0,503076007144275;0,419354838709677
Jordan;0;0;10000;5~5~1;no PCA;Day;Day;Day;2890267,5550862;0,50426671958722;0,503076007144275;0,419354838709677
Elman;0;0;10000;5~5~1;no PCA;Day;Day;Day;594202,059058247;0,499702321889264;0,503076007144275;0,516129032258065
MLP;0,5;0;10000;5~5~1;no PCA;Day;Day;Day;4697,57575381497;0,495931732486604;0,503076007144275;0,419354838709677
Jordan;0,5;0;10000;5~5~1;no PCA;Day;Day;Day;4382,84034264997;0,496527088708077;0,503076007144275;0,548387096774194
Elman;0,5;0;10000;5~5~1;no PCA;Day;Day;Day;4291,14756050602;0,497122444929549;0,503076007144275;0,645161290322581
MLP;1;0;10000;5~5~1;no PCA;Day;Day;Day;4902,00823147472;0,49573328041278;0,503076007144275;0,483870967741936
Jordan;1;0;10000;5~5~1;no PCA;Day;Day;Day;4452,52926040711;0,496328636634253;0,503076007144275;0,419354838709677
Elman;1;0;10000;5~5~1;no PCA;Day;Day;Day;4575,82683003895;0,497320897003374;0,503076007144275;0,580645161290323
MLP;1,5;0;10000;5~5~1;no PCA;Day;Day;Day;4858,30593659248;0,495931732486604;0,503076007144275;0,483870967741936
Jordan;1,5;0;10000;5~5~1;no PCA;Day;Day;Day;4376,64006451684;0,496328636634253;0,503076007144275;0,483870967741936
Elman;1,5;0;10000;5~5~1;no PCA;Day;Day;Day;4369,93050956424;0,497717801151022;0,503076007144275;0,612903225806452
MLP;2;0;10000;5~5~1;no PCA;Day;Day;Day;4877,72331384482;0,495931732486604;0,503076007144275;0,548387096774194
Jordan;2;0;10000;5~5~1;no PCA;Day;Day;Day;4369,34638887052;0,496725540781901;0,503076007144275;0,451612903225806
Elman;2;0;10000;5~5~1;no PCA;Day;Day;Day;4476,99662684345;0,497122444929549;0,503076007144275;0,516129032258065
MLP;0;0;10000;30~30~1;no PCA;Day;Day;Day;3452303,34900571;0,495336376265132;0,503076007144275;0,419354838709677
Jordan;0;0;10000;30~30~1;no PCA;Day;Day;Day;3849973,64782767;0,496328636634253;0,503076007144275;0,419354838709677
Elman;0;0;10000;30~30~1;no PCA;Day;Day;Day;2241360,53511136;0,502083746775154;0,503076007144275;0,419354838709677
MLP;0,5;0;10000;30~30~1;no PCA;Day;Day;Day;5119,10416750852;0,496725540781901;0,503076007144275;0,387096774193548
Jordan;0,5;0;10000;30~30~1;no PCA;Day;Day;Day;4649,77767296486;0,496725540781901;0,503076007144275;0,580645161290323
Elman;0,5;0;10000;30~30~1;no PCA;Day;Day;Day;5915,96303539166;0,496328636634253;0,503076007144275;0,483870967741936
MLP;1;0;10000;30~30~1;no PCA;Day;Day;Day;5006,06700004485;0,49573328041278;0,503076007144275;0,451612903225806
Jordan;1;0;10000;30~30~1;no PCA;Day;Day;Day;4511,22081407539;0,497122444929549;0,503076007144275;0,451612903225806
Elman;1;0;10000;30~30~1;no PCA;Day;Day;Day;5523,17736903106;0,496130184560429;0,503076007144275;0,516129032258065
MLP;1,5;0;10000;30~30~1;no PCA;Day;Day;Day;5121,63139453556;0,49573328041278;0,503076007144275;0,419354838709677
Jordan;1,5;0;10000;30~30~1;no PCA;Day;Day;Day;4579,54001021725;0,497122444929549;0,503076007144275;0,451612903225806
Elman;1,5;0;10000;30~30~1;no PCA;Day;Day;Day;5209,49339793195;0,496725540781901;0,503076007144275;0,516129032258065
MLP;2;0;10000;30~30~1;no PCA;Day;Day;Day;5203,85584146766;0,49573328041278;0,503076007144275;0,451612903225806
Jordan;2;0;10000;30~30~1;no PCA;Day;Day;Day;4649,17094169096;0,499106965667791;0,503076007144275;0,419354838709677
Elman;2;0;10000;30~30~1;no PCA;Day;Day;Day;4197,04298327123;0,496725540781901;0,503076007144275;0,645161290322581
MLP;0;0;10000;2~1;no PCA;Week;Day;Day;1507690,54878463;0,496127110228401;0,502681231380338;0,451612903225806
Jordan;0;0;10000;2~1;no PCA;Week;Day;Day;3001122,67153132;0,507447864945382;0,502681231380338;0,451612903225806
Elman;0;0;10000;2~1;no PCA;Week;Day;Day;1651011,40493867;0,500695134061569;0,502681231380338;0,451612903225806
MLP;0,5;0;10000;2~1;no PCA;Week;Day;Day;2590,8741010643;0,494538232373386;0,502681231380338;0,645161290322581
Jordan;0,5;0;10000;2~1;no PCA;Week;Day;Day;2647,4258187307;0,495332671300894;0,502681231380338;0,645161290322581
Elman;0,5;0;10000;2~1;no PCA;Week;Day;Day;2523,80977156009;0,494736842105263;0,502681231380338;0,645161290322581
MLP;1;0;10000;2~1;no PCA;Week;Day;Day;2196,00088582013;0,495134061569017;0,502681231380338;0,774193548387097
Jordan;1;0;10000;2~1;no PCA;Week;Day;Day;2212,39076130924;0,495332671300894;0,502681231380338;0,774193548387097
Elman;1;0;10000;2~1;no PCA;Week;Day;Day;2233,56205684737;0,49493545183714;0,502681231380338;0,741935483870968
MLP;1,5;0;10000;2~1;no PCA;Week;Day;Day;2059,81674463227;0,495332671300894;0,502681231380338;0,774193548387097
Jordan;1,5;0;10000;2~1;no PCA;Week;Day;Day;2113,05413176997;0,49493545183714;0,502681231380338;0,741935483870968
Elman;1,5;0;10000;2~1;no PCA;Week;Day;Day;2123,01049143945;0,49493545183714;0,502681231380338;0,774193548387097
MLP;2;0;10000;2~1;no PCA;Week;Day;Day;2011,24641547299;0,495729890764647;0,502681231380338;0,774193548387097
Jordan;2;0;10000;2~1;no PCA;Week;Day;Day;2095,44735631375;0,495531281032771;0,502681231380338;0,741935483870968
Elman;2;0;10000;2~1;no PCA;Week;Day;Day;2108,40631063155;0,495332671300894;0,502681231380338;0,741935483870968
MLP;0;0;10000;10~1;no PCA;Week;Day;Day;1909185,34875146;0,496722939424032;0,502681231380338;0,451612903225806
Jordan;0;0;10000;10~1;no PCA;Week;Day;Day;1905827,62014873;0,4987090367428;0,502681231380338;0,451612903225806
Elman;0;0;10000;10~1;no PCA;Week;Day;Day;1511315,59571499;0,497914597815293;0,502681231380338;0,451612903225806
MLP;0,5;0;10000;10~1;no PCA;Week;Day;Day;2523,36725121929;0,495332671300894;0,502681231380338;0,709677419354839
Jordan;0,5;0;10000;10~1;no PCA;Week;Day;Day;2654,51204037527;0,49493545183714;0,502681231380338;0,67741935483871
Elman;0,5;0;10000;10~1;no PCA;Week;Day;Day;2769,92003481506;0,495729890764647;0,502681231380338;0,645161290322581
MLP;1;0;10000;10~1;no PCA;Week;Day;Day;2200,62046883183;0,495531281032771;0,502681231380338;0,774193548387097
Jordan;1;0;10000;10~1;no PCA;Week;Day;Day;2265,33218060715;0,495928500496524;0,502681231380338;0,774193548387097
